time,vibrationLevel_4267,mean
2023-08-29 17:08:02.642000+00:00,0.083,0.083
2023-08-29 14:07:15.497000+00:00,0.0817,0.0817
2023-08-29 11:06:21.003000+00:00,0.0024,0.0024
2023-08-29 08:04:20.181000+00:00,0.1015,0.1015
2023-08-29 05:08:37.888000+00:00,0.1184,0.1184
2023-08-29 02:07:54.544000+00:00,0.0,0.0
2023-08-28 23:07:23.684000+00:00,0.0,0.0
2023-08-28 20:06:52.309000+00:00,0.0,0.0
2023-08-28 17:06:22.318000+00:00,0.0909,0.0909
2023-08-28 14:05:31.873000+00:00,0.1151,0.1151
2023-08-28 11:07:03.512000+00:00,0.0022,0.0022
2023-08-28 08:13:32.836000+00:00,0.139,0.139
2023-08-28 05:04:59.637000+00:00,0.105,0.105
2023-08-28 02:08:50.081000+00:00,0.0,0.0
2023-08-27 23:08:08.492000+00:00,0.0,0.0
2023-08-27 20:07:33.246000+00:00,0.0,0.0
2023-08-27 17:06:51.501000+00:00,0.0963,0.0963
2023-08-27 14:05:51.282000+00:00,0.0965,0.0965
2023-08-27 11:07:26.365000+00:00,0.1142,0.1142
2023-08-27 08:09:01.168000+00:00,0.1425,0.1425
2023-08-27 05:07:53.931000+00:00,0.0,0.0
2023-08-27 02:07:17.863000+00:00,0.0,0.0
2023-08-26 23:06:46.938000+00:00,0.0,0.0
2023-08-26 20:06:15.834000+00:00,0.0,0.0
2023-08-26 17:05:50.133000+00:00,0.0974,0.0974
2023-08-26 14:04:52.607000+00:00,0.0929,0.0929
2023-08-26 11:08:56.731000+00:00,0.0875,0.0875
2023-08-26 08:08:01.293000+00:00,0.0968,0.0968
2023-08-26 05:06:59.792000+00:00,0.0,0.0
2023-08-26 02:06:24.546000+00:00,0.0,0.0
2023-08-25 23:05:54.411000+00:00,0.0,0.0
2023-08-25 20:05:28.153000+00:00,0.0,0.0
2023-08-25 17:04:56.980000+00:00,0.1058,0.1058
2023-08-25 14:08:54.856000+00:00,0.1232,0.1232
